.,Portuguese
UIText.uitext,"Hoje é um grande dia para Arkham. Padre Mateo acabou de chegar na cidade para ser o novo padre da igreja de Bayfriar, no bairro de French Hill. Em sua primeira missa, ele abriu o seu coração e mostrou-se um homem de inabalável fé, caridade e perdão. Que homilia! \n\n A família Bechman é uma das principais benfeitoras de Arkham. Eles são uma família de fé, moral, boas ações, e servem com dedicação sua igreja e comunidade. Todo mundo confia neles. \n\n Para celebrar a chegada de Padre Mateo, Grace Bechman vai sediar um jantar hoje à noite. Ela convidou alguns membros da comunidade, e o santo homem a si mesmo, é claro \n \n <i> OBSERVAÇÕES:. Se você está jogando sozinho, você deve escolher Padre Mateo. Com 2 ou 3 jogadores, um deve jogar como Padre Mateo. Peças de mapa da expansão Pesadelos Recorrentes (RN) podem ser substituídas por peças de mapa da edição base similares (como a cozinha e o sótão) e os monstros da expansão RN estão disponíveis no kit de conversão ou site da FFG. Obrigado por jogar! Sinta-se à vontade para enviar dúvidas/sugestões para: https://github.com/abedgregio/MoM/ </i>"
EventPlaceGrace_T1.button1,Continuar
EventPlaceRichard_T1.text,Coloque Richard Bechman à mesa.
EventPlaceRichard_T1.button1,Continuar
EventPlaceInvestigators_T1.text,Coloque os investigadores à mesa. O jantar se inicia neste exato momento.
EventPlaceInvestigators_T1.button1,Continuar
EventPlaceSearch1_T1.button1,Continuar
EventRemoveExplore1_T1.button1,Continuar
EventRemoveExplore2_T1.button1,Continuar
EventPlaceExplore1_T1.button1,Continuar
TokenSearch1_T1.text,Um armário de cozinha com uma gaveta semi-aberta.
TokenExplore1_T1.button1,Continuar
EventPlaceExplore2_T1.text,Coloque um marcador de Exploração como indicado.
EventRemoveSearch1_T1.text,"Você abre a gaveta do armário. Há vários utensílios de cozinha dentro dela. Apesar de você temer roubar seus anfitriões, a sensação de segurança de ter algo à mão para se proteger lhe faz se sentir melhor \n\nReceba o item {c: QItemCommonKnife} e remova este marcador de Busca."
EventPlaceGraceAtKitchen_T1.text,"Mova Grace Bechman da sala de jantar para a cozinha, como indicado. \n\n ""<i> Tudo está difícil demais por aqui! Fico preocupada com Richard o tempo todo. Mildred, minha filha mais nova também está se comportando de forma estranha. Minha outra filha, Gwendolyn, nunca me escreve para contar sobre a universidade. </i> ""\n\n Ela está muito envergonhada com a atitude de seu marido na frente de seus convidados. Grace limpa os pratos silenciosamente. \n\nGanhe 1 pista {clue}."
EventPrescriptionPassed_T2.text,"Você descobre que o Sr. Bechman está tomando cinco tipos diferentes de medicamentos controlados, incluindo um para regular o humor. \n\n Ganhe 1 pista {clue} e receba o item especial {c: QItemEvidence1_T2}. \n\n Remova este marcador de Busca."
EventPlaceExplore2_T1.button1,Continuar
EventPlaceExplore1_T1.text,Coloque um marcador de Exploração como indicado.
TokenExplore2_T1.button1,Continuar
EventDoor2_LOCKED_T1.text,Não é educado para deixar a mesa no meio do jantar para bisbilhotar!
EventPlaceSearch_T2.text,Uma pequena pilha de papéis está organizada na mesa do hall de entrada.\n\n Coloque um marcador de busca como indicado.
EventPlaceSearch_T2.button1,Continuar
EventReadPrescription_T2.button1,Continuar
EventPrescriptionPassed_T2.button1,Continuar
EventPrescritionFailed_T2.text,"Você não enxerga nada além de uma caligrafia incompreensível. Frustrado, você deixa a prescrição como a encontrou..."
EventPrescritionFailed_T2.button1,Continuar
EventTalkGrace1_T1.button1,Ela está se sentindo bem?
EventTalkGrace1_1_T1.text,Ela está agindo de forma estranha nas últimas semanas. Eu realmente não quero incomodá-lo com esse assunto hoje à noite.
EventTalkGrace1_T1.button2,Cancelar
EventTalkGrace1_T1.text,"Obrigado, Padre. Lamento muito que a nossa filha não saiu de seu quarto para juntar-se a nós esta noite. Ela estaria feliz com a sua visita. Talvez amanhã de manhã ..."
EventTalkGrace1_1_T1.button1,Ganhe 1 pista {clue}
EventTalkGrace2_T1.text,"Tenho duas filhas: Mildred, a mais jovem, não está se sentindo bem. Ela está em seu quarto descansando. A outra, Gwen, passa os dias da semana na Universidade de Miskatonik."
EventTalkGrace2_T1.button1, {action} Mildred está doente?
EventTalkGrace2_T1.button2,{action} Interessante! Que curso Gwendolyn faz na faculdade?
EventTalkGrace2_1_T1.text,"Ela está agindo muito estranho. Encontrei vários hematomas em seu peito e pernas, ela também não está comendo direito. Eu não sei o que fazer. Ela também não fala comigo sobre o que está acontecendo."
EventTalkGrace2_1_T1.button1,Ganhe 1 pista {clue}
EventTalkGrace2_2_T1.text,Ela estuda as civilizações antigas e suas culturas.
EventTalkGrace2_2_T1.button1,Ganhe 1 pista {clue}
EventTalkGraceQ1Q2_T1.button1,{action} Eu realmente gostei do jantar. Você tem uma família adorável!
EventTalkGrace3_T1.text,Ele não é mais o mesmo desde o acidente ...
EventTalkGrace3_T1.button1,Ganhe 1 pista {clue}
EventTalkRichard1_T1.text,"O homem pareceu aborrecido com seu comentário. \n\n ""<i> Por que você não come em silêncio? </i>,"" ele te questiona."
EventTalkRichard1_T1.button1,"""Sinto muito, não tive a intenção de ofender""."
EventTalkRichard1_T1.button2,Comer em silêncio.
EventTalkRichard1_1_T1.text,"""<i> Você ainda está falando, você não consegue parar! </i>"", o homem grita. \n ""<i> Você é exatamente como as vozes em minha cabeça!!! </i>"" \n\n Richard rapidamente se levanta e derruba sua cadeira antes de deixar a sala de jantar."
EventTalkRichard1_1_T1.button1,Continuar
EventPlaceGrace_T1.text,Coloque Grace Bechman na mesa de jantar.
EventRemoveExplore1_T1.text,"O hall de entrada é sóbrio. Você entrou na casa pela porta grande na sua esquerda. Há um criado mudo, uma cadeira de couro vermelho, uma estátua de mármore, e vasos de samambaias sobre colunas de mármore grego.\n\n Coloque a peça de mapa {c:TileManorEntry}. e remova este marcador de Exploração.\n\nVocê agora pode se mover 1 espaço para a peça revelada."
EventPlaceSearch1_T3.text,"Nas sombras, você vê a forma do que parece ser um tanque de lavar roupas.\n\nColoque um marcador de Buscacomo indicado."
EventPlaceSearch1_T3.button1,Continuar
TokenSearch1_T3.button1,{action} Investigar
EventRemoveSearch1_T3.button2,Falhou
TokenSearch2_T3.text,Há grandes sacos de fertilizantes e ferramentas de jardinagem no canto do depósito.
EventWashtankPassed_T3.text,"Quando você chega mais perto, o cheiro é nauseante. Agora você pode ver uma mistura sangrenta de fragmentos de pele e ossos. Horrorizado, você percebe que alguém, ou algo, vomitou os restos de um rato! \n\n Sofra um horror voltado para baixo e ganhe 1 pista {clue}. \n\n Remova este marcador de Busca."
EventWashtankPassed_T3.button1,Continuar
EventWashtankFailed_T3.text,"Enojado com o forte cheiro de algo podre, você vê o que parece ser uma pequena poça de sangue e vômito. \n\n Remova este marcador de Busca e fique <i> atordoado </i>."
EventWashtankFailed_T3.button1,Continuar
EventPlaceSearch2_T3.text,Uma porta aberta leva para um pequeno depósito.\n\nColoque um marcador de Busca aqui.
EventPlaceSearch2_T3.button1,Continuar
EventRemoveSearch2_T3.text,"A pá repousa sobre os sacos de fertilizante! Ela pode ser usado para se defender se o barulho que você ouviu significa que há um invasor dentro da casa. \n\n Se você decidir levar a pá consigo, receba o item {c:QItemShovel_T3}. Caso contrário, deixe a carta de item neste espaço. \n\n Remova o marcador de Busca."
EventRemoveSearch2_T3.button1,Continuar
EventPlaceDarkness_T3.text,Coloque um marcador de escuridão em cada espaço desta peça de mapa.\n\nVocê agora pode mover 1 espaço para entrar neste cômodo.
EventPlaceDarkness_T3.button1,Continuar
EventRemoveRichardB_T1.button1,Continuar
EventReadPrescription_T2.text,"A prescrição tem o nome do Sr. Bechman digitado no cabeçalho, com a data de ontem. A escrita é muito confusa. Talvez se você prestar realmente atenção que você consiga decifrar o que o médico receitou. Você tenta ler a receita usando sua {observation}."
TokenGraceKitchen_T1.button1,Continuar
EventTalkToGraceAtKitchen1_T1.text,Grace está visivelmente chateada. Ela está soluçando de tanto chorar.
EventPlaceSearch2_T1.button1,Continuar
TokenLantern_T1.text,Uma lanterna apagada está sobre um barril no canto do quarto.
EventRemoveSearch2_T1.text,A lanterna está cheia de querosene. Ela pode ser usada como uma fonte de luz.\n\nReceba o item {c:QItemLantern_T1} e remova este marcador de Busca.
EventPlaceSearch1_T1.text,"A porta da cozinha está aberta. Você pode ver armários,estantes e eletrodomésticos finos.\n\n Coloque um marcador de Busca no armário da cozinha, como indicado. A gaveta do armário não está completamente fechada."
EventPlaceSearch2_T1.text,"A porta da despensa também está aberta. Aalimentos não perecíveis, ferramentas de limpeza e outros utilitários compartilham o espaço. Um dos barris tem algo sobre ele.\n\nColoque um marcador de Busca como indicado."
EventRemoveSearch2_T1.button1,Continuar
EventTalkRichard_T1.button1,{action} Eles são muito comuns nesta parte da cidade?
SpawnPazuzu_T8.text,"Coloque um Cão de Tindalos no espaço indicado e remova o marcador de cachorro do tabuleiro. \n \nEste era Pazuzu, agora possuído por uma entidade maligna. \n \nEle agarra a caixa de metal com a boca para proteger o objeto."
EventRemoveBechmansFromKitchen_T1.text,"Grace parece entorpecida, ela deve estar muito cansada. Ela aponta para o quarto que você irá dormir e deseja-lhe uma boa noite de sono. \n \n ""<i> Por favor, descanse um pouco. Deixei o quarto arrumado para vocês. </i>"" \n \nGrace desaparece pelo corredor à direita. \n\n Remova este marcador de Busca e todos os marcadores de pessoas do tabuleiro."
EventRemoveBechmansFromKitchen_T1.button1,Continuar
TokenSight_T2.button1,Revelar
EventPlaceDarkness_T6.button1,Continuar
EventPlaceExplore2_T6.text,Outra porta que pode levar a um quarto. Coloque um marcador de Exploração como indicado.
EventPlaceExplore2_T6.button1,Continuar
TokenExplore2_T6.text,A porta de um quarto.
TokenMasterBedroomDoor_T6.text,Coloque o marcador de porta como indicado.
TokenMasterBedroomDoor_T6.button1,Continuar
EventPlaceExplore1_T6.text,"Uma porta. Você mal consegue ver no escuro, mas percebe que o batente desta porta é mais sofisticado. Ela deve levar para o quarto principal.\n\nColoque um marcador de Exploração como indicado."
EventPlaceExplore1_T6.button1,Continuar
EventPlaceWall_T6.button1,Continuar
EventRemoveCouple_T7.text,"Grace atravessa o corredor e fica na frente do quarto das filhas. Ela olha para a porta, imóvel, para em seguida se virar em sua direção e chorar em desespero: \n \n <i> Apresse-se, eu  temo por minha filhinha! </i> \n \n Grace está claramente em pânico, chorando e tremendo incontrolavelmente, paralisada em frente à porta de Mildred \n\n Mova Grace para a frente da outra porta no {c:TileBedroomsHall} como indicado. Quaisquer investigadores no quarto principal devem ser movidos para o mesmo espaço de Grace."
EventPlaceWall2_T6.text,"Coloque uma parede, tal como indicado."
EventGraceB_T8.text,"Grace Bechman entra lentamente na sala, horrorizada. Ela desmaia, murmurando palavras indistinguíveis enquanto está deitada no chão. \n\n Mova Grace conforme indicado."
TokenSearch2_T8.text,Parece uma caixa de metal.
EventRemoveSearch2_T8.text,"Você se ajoelha para tentar alcançar a caixa. De repente, um grande cão sai debaixo da cama. Este é Pazuzu, o <i>Bullmastiff</i> de Mildred. \n\n Coloque o marcador de cão em frente da cama. Ele fica entre você e a caixa intocada. \n \nRemova o marcador de Busca. A caixa está inacessível no momento."
EventTileUpstairs_NOKEY_T5.button1,Continuar
EventPlaceDevil_T9.text,"Você se assusta na presença dessa criatura inominável. \n \nNo passado, ele foi o príncipe da luz, o mais belo dos anjos de Deus. Sua presunção ousada levou-o à queda. \n \n Você procura sua cruz, mas quando a toca, não sente nada. Você está perdendo a sua fé? Não agora, quando você precisa para lutar contra o próprio diabo!"
EventRemoveSearch1_T9.button1,Continuar
EventPlaceSearch1_T9.text,"Assim que olha para dentro do sótão, você sente o cheiro de uma mistura nauseante de sangue e carne podre.\n\nColoque um marcador de Busca como indicado.\n\nO investigador pode agora mover-se um espaço para o mapa revelado."
TokenSearch1_T9.button1,{action} Investigar
EventPlaceInteract_T9.text,"Quando você olha para aquilo, percebe que o ritual já está acontecendo! A convocação será terminada se você não parar o ritual a tempo."
TokenSearch1_T9.text,"Um pacote de velas sortidas, um frasco de sangue e um par de ratos mortos dentro de um saco de plástico."
EventPlaceSearch1_T9.button1,Continuar
EventTileUpstairs_NOKEY_T5.text,Você vê um conjunto de escadas indo para cima. Os degraus são cobertos com veludo vermelho. Os sons estranhos que você tem ouvido ficam mais altos.\n\nColoque o mapa {c:TileUpstairs}.
EventPlaceSight_T2.button1,Continuar
TokenSearch1_T6.button1,{action} Investigar
EventPlaceDarkness_T6.text,É realmente difícil ver qualquer coisa no corredor.\n\nColoque marcadores de escuridão em todos os espaços desta peça de mapa.
EventRemoveSearch1_T6.text,"Você cuidadosamente procura o abajur dentro dos escombros, esperando que ele não esteja quebrado (Teste {agility}; 1). \n \nSe você passar, ligue o abajur (remova toda a escuridão desta peça de mapa) e fique Compenetrado; Se você falhar, você tropeça e derruba o abajur. Está quebrado. Você espera que ninguém tenha ouvido sua bagunça. Sofra 1 dano voltado para baixo e 1 horror voltado para baixo (negados por {will}). \n\n Remova este marcador de Busca."
TokenSearch1_T6.text,"Richard, enlouquecido, tropeçou na mesa e conseguiu derrubar tudo. Os objetos estão espalhados no chão. Talvez você encontre algo útil."
EventRemoveSearch1_T6.button1,Continuar
EventPlaceSearch1_T6.text,Seus olhos estão se acostumando com a escuridão. Você começa a ver algumas formas.\n\nColoque um marcador de Busca como indicado.
EventPlaceSearch1_T6.button1,Continuar
EventRemoveSearch1_T9.text,"Você vagamente se lembra, mas com certeza você viu algo assim em um livro antigo da biblioteca do Vaticano. Esses componentes podem ser usados ​​em um ritual de invocação demoníaca.\n\n Receba o item {c: QItemRitualComp_T9}! Ele pode ser útil para uma investigação mais aprofundada. \n \nVocê ouve um barulho atrás das caixas à sua direita ..."
EventRemoveSearch1_T3.text,Há uma pequena poça de um líquido indistiguível perto do ralo. Você se aproxima para tentar ver o que é ({observation}; 2).
EventRemoveSearch1_T1.button1,Continuar
EventPlaceGraceAtKitchen_T1.button1,Continuar
EventTalkGraceQ1Q2_T1.button2,{action} Você tem uma bela casa. Ela parece mais nova do que as outras casas aqui no bairro French Hill.
EventTalkGraceQ1Q2_T1.text,"""<i> Bem-vindo à cidade de Arkham, Padre Mateo! Estamos muito contentes por tê-lo em nossa comunidade e, principalmente, em nossa casa para o jantar. Esperamos que você aprecie a companhia de hoje de noite. </i>"" \n \nGrace pega na sua mão e educadamente pergunta se você gostaria de fazer a oração inicial antes de todos comerem. Padre Mateo agradece ao Senhor pela a refeição e abençoa todos na mesa. \n \n Os convidados começam a comer e a bater papo. Todo mundo parece feliz."
EventTalkGraceQ2_USED_T1.text,"""<i> Gentileza sua, Padre. Esta casa é tão antiga quanto as outras no bairro. Está na família de Richard por quase dois séculos. Nós reformamos recentemente, mas eu sinto que a casa estala e range ainda mais do que antes. </i> ""\n\n Ganhe 1 pista {clue}."
EventTalkGraceQ1_T1.button1,{action} Eu realmente adorei o jantar. Você tem uma família adorável!
EventTalkGraceQ2_T1.button1,{action} Você tem uma bela casa. Parece mais recente do que as outras casas aqui no French Hill.
EventTalkGraceQ1_USED_T1.text,"""<i> Muito obrigado. Estou muito triste que a nossa filha Mildred não deixou seu quarto para se juntar a nós esta noite. Normalmente ela estaria agradecida por sua visita, mas ela está agindo muito estranho nas últimas semanas. Bem, ela tem apenas dezesseis anos e sente falta de sua irmã Gwendolyn. Elas são extremamente próximas uma da outra </i> ""\n \nGrace continua:"".. <i> Mildred não está se sentindo bem hoje eu percebi que ela tem hematomas em ambos os braços, mas ela não comentou nada sobre isso. Pelo contrário, tentou esconder os machucados com uma blusa, mas eu vi! Desde que Gwendolyn começou um projeto de iniciação científica na Universidade de Miskatonic e, portanto, passa todos os dias de semana lá, Mildred está inconsolável ... < / i> ""\n\n Ganhe 1 pista {clue}."
EventTalkGraceQ1_USED_T1.button1,Continuar
EventTalkGraceQ2_USED_T1.button1,Continuar
EventTalkGraceQ1_T1.button2,Continuar
EventTalkGraceQ2_T1.button2,Continuar
EventTalkGrace_NoOptions_T1.text,"""<i>Você gostou do tempero do frango? Ele veio do grande livro de receitas da avó de Richard. Eu guardo o livro em segurança, é um segredo de família! </i>"" Grace pisca. \n\n Ela está prestes a servir a sobremesa."
EventTalkGrace_NoOptions_T1.button1,Continuar
TokenLantern_T1.button1,{action} Investigar
TokenSearch1_T3.text,Um tanque de lavar roupas com uma pequena poça de alguma coisa exalando mau cheiro dentro dele.
EventRemoveSearch1_T3.button1,Passou!
EventTalkGraceQ1_T1.text,Grace está comendo e conversando alegremente.
EventTalkGraceQ2_T1.text,Grace parece cheia de alegria. Ela está muito faladora esta noite.
TokenGraceB1_T1.button1,Continuar
EventCrazyRichard_T1.button1,Continuar
TokenRichardB_T1.button1,Continuar
EventRemoveExplore2_T1.text,"A porta se abre com um longo rangido. O porão está completamente escuro. Você é incapaz de ver se há um interruptor ao alcance para acender as luzes ou não. Quando você entra na sala,  percebe que deve tomar cuidado com seus passos: uma velha escada de madeira leva para mais fundo no porão.\n\n Coloque a peça de mapa {c: TileBasement} como indicado e remova este marcador de Exploração.\n\n Você pode mover-se 1 espaço para a área revelada."
EventTalkRichard_T1.text,<i> Ratos ... Eu tenho ouvido maldito ratos durante toda a noite. </i> \nRichard não para de resmungar ...
EventTalkRichard_T1.button2,Cancelar
EventTalkRichard1_2_T1.button1,Continuar
TokenSight1_T1.button1,Revelar
EventRemoveSight1_T1.text,"O hall de entrada é sóbrio. Você veio na casa pela porta grande à esquerda. Há um criado múdo, uma cadeira de couro vermelho, uma estátua de mármore, e vasos de samambaias sobre colunas de mármore grego.\n\n Coloque a peça de mapa {c: TileManorEntry} e remova este marcador de Avistamento."
TokenSight1_T1.text,Um investigador no mesmo espaço deste marcador de Avistamento na sala de jantar pode revelar o mapa adjacente.
EventRemoveSight1_T1.button1,Continuar
EventTalkRichard_NoOptions_T1.text,"""<i> Ratos barulhentos! Ninguém os ouve? </i>"" \n\nO homem murmura para si mesmo."
EventTalkRichard_NoOptions_T1.button1,Continuar
EventDoor1_LOCKED_T1.button1,Continuar
EventDoor2_LOCKED_T1.button1,Continuar
EventDoor1_LOCKED_T1.text,Seria muito rude de você deixar o jantar agora...
EventDoor1_UNLOCKED_T1.button1,{action} Explorar
EventDoor2_UNLOCKED_T1.text,Uma porta comum. Ele deve levar para o porão ou fora da casa.
EventDoor2_UNLOCKED_T1.button1,{action} Explorar
EventPlaceExplore1_T2.button1,Continuar
EventPlaceExplore1_T2.text,Coloque um marcador de Exploração como indicado.
TokenExplore1_T2.text,Esta porta leva ao quarto de hóspedes.
TokenExplore1_T2.button1,{action} Explorar
EventPlaceExplore2_T2.button1,Continuar
EventRemoveExplore1_T2.text,"Você abre a porta do quarto que Grace preparou para seus convidados. É simples, mas impecavelmente limpo e confortável. Os lençóis de cama cheiram muito bem. Você acredita que algumas horas de sono podem ser boas para digerir o que aconteceu. \n\n Coloque a peça de mapa {c: TileGuestRoom} como indicado e remova este marcador de Exploração."
EventPlaceExplore2_T2.text,Coloque um marcador de exploração como indicado.
EventRemoveSight_T2.text,Um corredor que leva aos outros quartos da casa se revela em sua frente. Ele tem um piso de madeira magnífico.\n\nColoque a peça de mapa {c:TileBedroomsHall} e remova este marcador de Avistamento.
EventPlaceWall_T6.text,Coloque uma parede como indicado.
EventRemoveSight_T2.button1,Continuar
EventPlaceWall2_T6.button1,Continuar
EventMythos1.text,"As luzes se apagam. Todos ao redor da mesa gritam quando ela começa a sacudir. Os armários se abrem abruptamente e, de repente, todos os pratos e copos são lançados em direção aos convidados e ao chão. Cada investigador na cozinha, sala de jantar ou despensa sofre 1 ponto de dano (negado por {agility}). \n \n As luzes se acendem novamente. Ninguém entendeu se isso era uma brincadeira ou um evento sobrenatural. Grace diz ""<i> Calma, amigos. Deve ser um pequeno terremoto. Estou prestes a servir a sobremesa! </i>"". \n \nNinguém nunca ouviu falar sobre terremotos em Arkham. Grace parece estar fingindo que nada de anormal aconteceu, apesar do comportamento do marido e este evento aparentemente sobrenatural. Você desconfia que o convite para jantar tem outras intenções do que apenas dar boas-vindas ao novo padre ... \n \nCada investigador recebe 1 pista {clue}."
EventForceDoor_PASSED_T2.button1,Continuar
EventMythos5Deadly.text,"Um cheiro desagradável de enxofre invade o ar. Um trovão faz um estrondo tão forte que você quase pensa que está dentro da casa. Até mesmo a porta que leva ao andar de cima da casa caiu no chão. \n \nTodos os sinais eram claros, mas você não quis acreditar. Um demônio está aqui ... Você paralisa de medo.\n\n Sofra 2 horrores e fique atordoado."
TokenSight_T2.text,Está escuro e completamente quieto do outro lado do corredor. Todos devem estar dormindo.\n\nUm investigador no {c: TileManorEntry} pode revelar o mapa adjacente.
EventKeyNotFound_T2.button1,Continuar
TokenExplore2_T2.button1,Continuar
EventKeyFound_T2.text,O jogador com o Item especial chave de bronze pode abrir esta porta.
EventKeyNotFound_T2.text,Os ruídos ficam mais altos. Talvez você possa tentar forçar esta porta para abrir usando sua {strength}.
EventKeyFound_T2.button1,Explorar
EventTileUpstairs_KEY_T5.text,Você vê um conjunto de escadas indo para cima. Os degraus são cobertos com veludo vermelho. Os sons estranhos que você tem ouvido ficam mais altos.\n\nColoque o mapa {c:TileUpstairs} e remova o marcador de Exploração como indicado.
EventTileUpstairs_KEY_T5.button1,Continuar
EventPlaceTokens_KEY_T5.button1,Continuar
EventPlaceTokens_KEY_T5.text,"No topo da escada, há uma porta com um pouco de luz saindo pelas frestas. Os degrais estão todos salpicado com algo que você não consegue descobrir a esta distância.\n\nColoque um marcador de exploração como indicado."
TokenSearch1_T5.button1,{action} Investigar
TokenSearch1_T5.text,Respingos de um líquido viscoso escuro.
EventRemoveSearch1_T5.text,"Você olha mais de perto ({observation}; 1). \n \nSe passar, você percebe que é sangue fresco. Sofra um horror voltado para baixo (negado por {will}); se falhar, você se sente enjoado. Sofra um horror (negado por {will}-1) e fique Atordoado. \n\n Ganhe uma pista {clue}."
EventRemoveSearch1_T5.button1,Continuar
TokenExplore1_T5.text,Os ruídos ficam mais alto atrás da porta. É um cântico em outra língua! O chão treme e as luzes começam a piscar.
TokenExplore1_T5.button1,{action} Explorar
EventRemoveExplore1_KEY_T5.text,"Quando entra, um arrepio desce por toda a sua espinha ao mesmo tempo em que você sente uma presença ameaçadora.\n\nColoque a peça de mapa {c:TileAttic} e remova este marcador de Exploração."
EventRemoveExplore1_KEY_T5.button1,Continuar
EventPlaceFaintMildredAndRitual_T9.button1,Continuar
EventPlaceFaintMildredAndRitual_T9.text,"A visão do que acabou de acontecer te deixa fraco. Um ritual demoníaco foi concluído aqui, e Mildred foi usada para convocar uma força do mal... \n \n Coloque um marcador de Busca e o marcador de pessoa Mildred como indicado."
EventPlaceSight_T2.text,Coloque um marcador de avistamento como indicado.
EventRemoveExplore1_T2.button1,Continuar
EventPlaceDoor_T4.text,Coloque um marcador de parede como indicado.
EventPlaceDoor_T4.button1,Continuar
EventPlaceSearch1_T4.button1,Continuar
EventPlaceSearch2_T4.button1,Continuar
EventPlaceSearch2_T4.text,"Ao olhar dentro do quarto, você vê uma cômoda com um suporte segurando um livro aberto. Você poderia usar a cômoda para organizar suas coisas. \n\n Coloque um marcador de Busca como indicado. \n\n Você agora pode se mover 1 espaço para a nova peça de mapa."
EventPlaceSearch1_T4.text,"Ao lado da cama, uma pequena mesa antiga.\n\nColoque um marcador de Busca como indicado."
TokenDoor_T4.text,Quarto de hóspedes
TokenDoor_T4.button1,Continuar
TokenSearch1_T4.button1,{action} Investigar
EventRemoveSearch1_T4.text,Você abre a gaveta. Há uma caixa de fósforos e um pequeno pacote de velas dentro. \n\n Receba o item {c: QItemCandles_T4} e remova este marcador de Busca.
TokenSearch1_T4.text,Uma pequena mesa com uma vela acesa sobre ela.
EventRemoveSearch1_T4.button1,Continuar
TokenSearch2_T4.text,Uma mesa de cabeceira com uma Bíblia aberta sobre ela.
TokenSearch2_T4.button1,{action} Investigar
EventRemoveSearch2_T4.text,"A Bíblia está aberta em uma página com uma passagem marcada: \n \n ""<i> E eu pus-me sobre a areia do mar, e vi uma besta levantar-se do mar, com sete cabeças e dez chifres, e sobre seus chifres dez coroas, e sobre as suas cabeças um nome de blasfêmia </i> (Apocalipse, 13: 1). ""\n\n Ganhe 1 pista {clue} e receba o item comum {c:QItemBible_T4}. \n\n Remova este marcador de Busca."
EventRemoveSearch2_T4.button1,Continuar
SpawnRichardManiac_T2.text,"Coloque um maníaco como indicado. Este é Richard Bechman, e ele parece perturbado."
SpawnRichardManiac_T2.button1,Continuar
EventSpawnManiac1_T2.button1,Continuar
EventSpawnManiac1_T6.text,"Você escuta passos no escuro, seguido de um ruído de algo quebrando. Alguém correu e esbarrou na pequena mesa. Um homem grita: \n \n ""<i> Nenhum Deus pode salvá-lo do castigo que você merece, pessoas de pouca fé </i>!"" \n\n Ele corre freneticamente segurando um machado, e dá a volta em você surpreendendo-o por trás."
EventSpawnManiac1_T2.text,"Você ouviu passos fora da sala, seguido de um ruído de algo se quebrando, como se alguém tivesse corrido e esbarrado em alguma coisa. Um homem grita: \n \n ""! <i> Nenhum Deus pode salvá-lo do castigo que você merece, pessoas de pouca fé </i>"""
EventSpawnManiac1_T6.button1,Continuar
EventRichardManiacDefeated.text,"Richard de repente pára quando percebe que está lhe atacando. Ele olha para o machado, confuso. Assustado consigo mesmo, ele atravessa o corredor rapidamente e desaparece de sua vista."
EventRichardManiacDefeated.button1,Continuar
TokenExplore1_T6.text,Quarto principal
TokenExplore1_T6.button1,{action} Explorar
EventRemoveExplore1_T6.text,Você abre a porta do quarto principal lentamente. Não há sequer uma lâmpada ligada.\n\nColoque a peça de mapa {c:TileMasterBedroom} e remova este marcador de Exploração.\n\nVocê agora pode se mover 1 espaço para a peça de mapa revelada.
